# Mains_Frequency_(Hz) =,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Sample_Frequency_(Hz) =,300,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Filter_Delay_(ms) =,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Sensor_Data_Units =,uV,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Headset_Name =,DSI-24 SN:3129,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data_Logger =,DSI-Streamer-v.1.08.120,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Date =,8/13/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Time =, 12:21:15.311 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Patient_ID =,X M 01-JAN-2000 X,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Record_ID =,Startdate 13-AUG-2025 EEG_XX X X,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Comments =,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Reference location:,Pz,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Trigger Source,Wired,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Channel_Number =,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,CMF,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments
Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3:,X2:REOG,F7,F8,X1:LEOG,A2,T6,T4,Pz,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments
0.1267,75.0,-27.2,179.5,130.5,131.9,-8.4,-20.9,25.7,-743.8,-18.8,400.2,367.6,-19.8,-42.9,-20.9,-74.3,-9.6,-3454.8,278.4,124.6,-2341.2,-56.0,-49.2,-64.6,0,0,234,0,46,0,
0.1300,49.8,-15.9,164.6,134.7,113.9,-15.9,-26.3,62.4,-966.9,-44.2,370.3,338.3,-32.6,-69.6,-32.6,-85.4,-9.9,-3475.5,262.5,121.0,-2365.5,-75.8,-65.4,-74.1,0,0,240,0,47,0,
0.1333,67.2,-12.6,172.4,128.4,121.4,-19.5,-19.1,57.6,-743.8,-34.7,376.3,350.3,-15.3,-55.2,-18.2,-71.9,-9.6,-3451.8,266.4,121.0,-2333.7,-59.3,-51.6,-69.3,0,0,246,0,48,0,
0.1367,54.3,-40.4,138.6,90.6,85.1,-39.8,-44.9,-2.7,-892.5,-55.3,331.2,304.9,-53.9,-79.5,-43.0,-99.4,-9.6,-3507.3,223.0,71.1,-2383.8,-102.5,-78.0,-93.0,0,0,252,0,49,0,
0.1400,63.6,12.3,178.7,149.7,125.9,15.9,4.5,96.8,-1041.3,-19.7,369.1,336.9,-7.5,-49.8,-14.9,-62.9,-9.6,-3444.6,276.3,123.7,-2322.6,-52.1,-41.1,-63.1,0,0,258,0,50,0,
0.1433,16.5,-44.0,136.2,87.9,83.9,-39.8,-45.8,6.9,-743.8,-55.3,329.1,295.9,-50.9,-81.3,-51.4,-101.2,-9.6,-3490.8,226.6,72.9,-2369.7,-90.2,-74.7,-79.5,0,0,264,0,51,0,
0.1467,50.4,-11.7,145.1,107.4,96.2,-14.4,-17.3,33.8,-1041.3,-46.0,326.4,297.4,-24.9,-69.3,-33.2,-83.6,-9.6,-3479.4,232.2,87.9,-2358.3,-75.5,-55.5,-72.9,0,0,270,0,52,0,
0.1500,44.1,-5.7,161.9,131.1,112.7,3.0,-3.0,84.8,-892.5,-17.9,338.0,310.0,-25.5,-60.6,-14.6,-68.9,-9.9,-3441.6,245.7,112.7,-2318.4,-47.0,-45.3,-55.6,0,0,276,0,53,0,
0.1533,15.0,-65.3,111.0,66.6,73.4,-49.1,-55.3,-20.9,-743.8,-66.4,293.8,264.3,-77.3,-99.9,-63.4,-112.6,-9.6,-3519.3,193.6,53.5,-2391.0,-93.8,-86.7,-92.1,0,0,282,0,54,0,
0.1567,83.1,26.6,185.8,154.5,136.9,30.0,20.6,92.9,-1115.6,-0.9,357.2,324.6,-3.6,-37.2,4.5,-50.9,-9.9,-3430.8,267.3,127.3,-2296.8,-22.8,-21.0,-35.0,0,0,288,0,55,0,
0.1600,-9.9,-38.9,126.3,91.8,82.1,-27.3,-42.8,40.6,-1115.6,-54.4,298.6,268.5,-57.2,-90.0,-60.1,-108.7,-9.9,-3477.0,212.5,75.6,-2341.5,-81.5,-77.4,-81.9,0,0,294,0,56,0,
0.1633,56.1,-6.6,157.1,110.4,112.7,-5.4,-13.2,28.1,-818.1,-4.2,326.1,295.3,-30.8,-56.4,-22.7,-68.3,-9.6,-3452.1,240.0,90.8,-2315.7,-38.7,-39.0,-52.6,0,0,300,0,57,0,
0.1667,58.2,10.8,160.1,134.4,115.4,17.1,0.0,88.1,-966.9,-4.8,315.6,286.7,-20.1,-51.9,-18.2,-67.7,-9.6,-3430.8,240.9,99.5,-2292.9,-38.1,-36.0,-53.8,0,0,306,0,58,0,
0.1700,17.7,-32.6,132.6,92.4,92.0,-18.0,-30.5,36.4,-892.5,-35.0,293.3,265.8,-28.2,-69.6,-41.8,-88.4,-9.3,-3456.9,212.5,69.3,-2313.6,-59.6,-52.8,-66.4,0,0,312,0,59,0,
0.1733,70.8,6.3,158.0,118.2,116.6,5.1,-1.8,48.1,-892.5,6.0,312.7,282.2,-4.5,-40.8,-10.5,-61.1,-9.9,-3443.4,237.6,90.2,-2295.6,-37.2,-31.5,-44.2,0,0,318,0,60,0,
0.1767,14.7,-6.9,135.3,105.6,85.4,-11.7,-17.9,79.8,-1041.3,-10.5,284.6,252.6,-27.9,-56.7,-28.7,-78.5,-9.6,-3455.1,217.3,67.5,-2307.9,-49.1,-53.1,-76.5,0,0,324,0,61,0,
0.1800,36.6,-23.6,131.1,87.3,91.1,-13.2,-19.4,29.0,-818.1,-8.7,284.9,255.0,-18.3,-30.0,-22.7,-72.8,-9.6,-3429.0,207.4,55.3,-2285.1,-47.0,-38.1,-60.4,0,0,330,0,62,0,
0.1833,54.3,-14.4,120.6,86.7,79.7,0.9,-20.9,38.5,-966.9,-30.2,263.7,236.2,-29.0,-58.5,-29.9,-83.9,-9.9,-3448.2,197.2,49.3,-2298.9,-53.3,-59.7,-102.5,0,0,336,0,63,0,
0.1867,41.1,5.7,140.9,107.7,94.1,6.9,-6.9,82.1,-966.9,-2.7,281.6,248.5,-13.5,-35.4,-6.9,-65.3,-9.6,-3437.1,216.7,68.4,-2276.4,-44.1,-38.7,-55.6,0,0,342,0,64,0,
0.1900,23.4,-46.4,98.8,50.7,53.6,-69.8,-51.7,-12.5,-818.1,-34.7,247.3,211.1,-47.9,-72.9,-41.5,-95.8,-9.6,-3477.6,177.1,15.2,-2317.8,-76.1,-70.8,-81.3,0,0,348,0,65,0,
0.1933,40.5,-6.6,126.6,97.2,79.4,-3.3,3.3,71.4,-1338.8,-8.4,260.7,226.1,-15.9,-41.4,-5.7,-63.5,-9.9,-3449.4,202.9,48.7,-2277.6,-50.0,-36.0,-72.6,0,0,354,0,66,0,
0.1967,6.6,-27.5,112.2,74.4,68.9,-28.2,-22.7,46.9,-966.9,-20.9,247.9,214.7,-35.9,-60.6,-27.2,-79.1,-9.6,-3456.3,187.0,33.5,-2287.8,-55.7,-54.0,-53.2,0,0,360,0,67,0,
0.2000,35.4,-43.1,93.7,51.3,54.5,-43.1,-35.0,-6.9,-892.5,-31.4,227.0,198.3,-46.4,-73.2,-38.6,-91.1,-9.9,-3468.9,165.7,10.8,-2300.4,-65.9,-69.3,-89.1,0,0,366,0,68,0,
0.2033,55.5,9.9,145.1,121.8,107.9,27.3,24.2,100.4,-1115.6,-3.3,270.3,245.5,4.8,-33.9,0.9,-49.4,-10.2,-3393.9,220.0,78.0,-2219.1,-15.0,-15.9,-24.5,0,0,372,0,69,0,
0.2067,-18.9,-67.4,82.3,41.1,42.9,-59.0,-52.9,-4.5,-966.9,-43.9,215.3,186.3,-60.2,-98.7,-65.7,-113.5,-9.6,-3479.4,153.4,6.0,-2300.7,-68.9,-83.1,-90.3,0,0,378,0,70,0,
0.2100,54.9,4.8,140.3,103.5,105.5,18.9,15.0,55.0,-1115.6,13.2,264.3,233.8,-15.3,-41.7,-8.1,-51.2,-9.3,-3425.4,209.2,55.9,-2248.2,-18.0,-21.6,-31.4,0,0,384,0,71,0,
0.2133,-4.5,8.4,109.8,82.5,66.5,-12.0,-18.2,69.9,-1264.4,-20.6,226.7,199.2,-43.7,-78.0,-41.8,-86.9,-9.9,-3454.2,179.8,31.7,-2278.2,-49.4,-57.3,-72.6,0,0,390,0,72,0,
0.2167,22.2,-59.3,103.8,57.3,65.6,-25.8,-32.0,5.7,-818.1,-11.4,234.4,199.5,-39.2,-73.5,-33.5,-83.0,-9.9,-3441.6,178.3,17.0,-2268.6,-42.9,-53.1,-62.5,0,0,396,0,73,0,
0.2200,53.4,7.5,128.4,94.8,81.8,-4.8,-3.0,62.7,-1190.0,1.5,243.4,208.4,0.3,-48.0,-12.9,-62.9,-9.9,-3408.3,199.0,42.1,-2229.9,-35.1,-36.6,-49.0,0,0,402,0,74,0,
0.2233,-12.6,-38.6,90.7,58.5,51.5,-37.2,-37.1,40.3,-1115.6,-32.9,207.5,177.7,-32.3,-73.5,-42.1,-88.7,-9.6,-3432.3,162.4,15.2,-2249.7,-59.0,-62.1,-74.7,0,0,408,0,75,0,
0.2267,36.0,-27.8,106.8,64.8,76.1,-19.2,-19.4,13.7,-966.9,10.8,227.6,201.6,-13.5,-31.5,-11.1,-64.4,-9.6,-3412.8,177.7,27.2,-2230.8,-28.2,-38.7,-54.1,0,0,414,0,76,0,
0.2300,9.3,-26.6,88.0,62.7,52.1,-24.6,-22.7,50.8,-1264.4,-34.1,197.4,170.5,-34.4,-54.0,-21.8,-77.6,-9.6,-3429.6,156.4,7.8,-2248.5,-53.0,-54.3,-70.8,0,0,420,0,77,0,
0.2333,27.6,-27.2,99.7,61.5,64.4,-12.6,-18.8,41.5,-966.9,1.8,215.3,184.3,-15.9,-40.2,-3.0,-60.8,-9.3,-3423.0,166.3,16.7,-2235.0,-30.9,-38.1,-54.7,0,0,426,0,78,0,
0.2367,26.7,-43.7,74.5,33.0,38.7,-35.4,-38.6,-9.3,-966.9,-19.1,186.6,154.1,-47.6,-63.6,-25.7,-79.4,-9.6,-3453.6,139.3,-17.6,-2263.5,-55.1,-56.4,-75.3,0,0,432,0,79,0,
0.2400,30.3,4.8,110.4,84.3,69.5,0.6,0.6,82.7,-1190.0,12.6,213.5,185.7,-2.4,-28.5,11.7,-49.7,-9.3,-3400.2,178.6,30.5,-2214.0,-16.5,-28.8,-49.3,0,0,438,0,80,0,
0.2433,-12.9,-51.8,68.8,26.7,38.4,-38.3,-39.8,-0.9,-1041.3,-17.9,183.1,151.1,-53.0,-55.8,-31.7,-86.6,-9.6,-3439.8,134.9,-16.1,-2257.5,-47.6,-60.6,-75.9,0,0,444,0,81,0,
0.2467,29.1,-17.4,91.0,58.5,57.8,-12.0,-12.6,27.5,-1041.3,-6.9,194.1,168.4,-32.9,-43.8,-17.0,-70.4,-9.9,-3421.2,151.3,11.4,-2238.6,-33.0,-44.4,-58.0,0,0,450,0,82,0,
0.2500,26.4,-8.4,108.0,79.8,68.0,2.7,5.7,79.2,-1041.3,8.4,209.0,178.3,-13.8,-42.0,-4.8,-56.9,-9.6,-3386.4,173.8,29.0,-2208.6,-18.0,-29.7,-43.3,0,0,456,0,83,0,
0.2533,-13.2,-68.3,54.8,11.1,26.1,-51.8,-49.4,-30.2,-892.5,-47.2,160.4,134.4,-58.4,-85.5,-58.9,-108.4,-9.6,-3474.6,112.1,-37.9,-2298.3,-69.8,-79.8,-90.0,0,0,462,0,84,0,
0.2567,48.3,15.6,123.0,91.8,87.5,21.3,23.6,79.5,-1264.4,5.4,217.4,187.8,1.8,-29.1,2.7,-43.4,-9.3,-3418.5,183.1,36.2,-2242.5,-13.2,-21.0,-28.7,0,0,468,0,85,0,
0.2600,-47.7,-65.3,57.5,29.1,33.0,-36.0,-39.2,21.8,-1264.4,-34.4,158.9,134.4,-63.5,-92.7,-55.9,-100.6,-9.6,-3469.2,119.3,-17.0,-2293.5,-73.7,-80.7,-99.2,0,0,474,0,86,0,
0.2633,16.2,-24.2,90.1,50.1,63.8,10.2,-6.9,11.4,-1041.3,-11.4,192.0,161.3,-35.6,-60.9,-25.1,-68.9,-9.9,-3444.0,151.3,-3.6,-2282.7,-52.4,-48.3,-64.3,0,0,480,0,87,0,
0.2667,21.3,-6.6,91.6,69.9,60.8,-22.2,-1.5,65.4,-1264.4,-10.2,184.8,162.2,-30.2,-62.7,-21.5,-65.6,-9.6,-3454.2,153.4,20.0,-2284.2,-26.4,-45.6,-54.4,0,0,486,0,88,0,
0.2700,-21.3,-54.5,67.3,32.1,40.2,-36.9,-32.0,14.6,-966.9,-17.6,169.3,145.7,-49.7,-84.9,-46.3,-86.6,-9.9,-3454.8,127.7,-12.8,-2297.7,-52.4,-62.4,-74.7,0,0,492,0,89,0,
0.2733,36.0,-16.5,92.8,59.1,63.2,-7.8,-1.2,27.8,-1041.3,0.0,193.5,166.3,-19.2,-50.4,-12.6,-59.6,-9.9,-3453.3,152.5,8.1,-2304.3,-24.0,-36.6,-48.7,0,0,498,0,90,0,
0.2767,-24.0,-30.5,74.5,54.0,41.7,-21.6,-23.0,58.8,-1264.4,-29.0,169.0,138.6,-28.7,-74.4,-33.2,-81.5,-9.3,-3452.4,137.8,-2.1,-2308.2,-51.2,-60.0,-71.4,0,0,504,0,91,0,
0.2800,3.3,-38.3,83.8,47.1,59.0,-11.7,-18.2,14.3,-892.5,3.9,185.1,156.5,-28.4,-58.5,-23.6,-70.1,-9.6,-3453.9,143.2,-4.2,-2311.5,-34.2,-40.5,-59.2,0,0,510,0,92,0,
0.2833,21.0,-28.4,74.8,42.9,40.8,-24.0,-29.0,21.8,-1190.0,-29.0,163.9,136.8,-32.9,-71.7,-34.7,-85.4,-10.2,-3484.2,136.6,-15.5,-2336.1,-54.5,-58.2,-78.3,0,0,516,0,93,0,
0.2867,13.2,-11.1,95.5,69.6,64.4,-5.4,-5.4,72.0,-1264.4,9.6,189.6,161.9,-13.8,-42.9,-10.2,-60.5,-9.6,-3413.4,158.2,22.1,-2283.0,-22.2,-32.1,-52.3,0,0,522,0,94,0,
0.2900,-8.1,-55.4,53.3,11.7,22.2,-53.6,-50.8,-23.9,-966.9,-30.2,148.7,119.2,-56.3,-78.0,-48.1,-95.8,-9.6,-3474.6,113.9,-41.2,-2345.7,-57.5,-68.1,-81.9,0,0,528,0,95,0,
0.2933,13.5,-6.0,84.4,63.3,53.6,-6.9,-5.7,56.8,-1190.0,-1.2,174.1,143.6,-25.5,-43.8,-4.8,-61.1,-9.6,-3449.1,147.7,-4.5,-2314.8,-32.7,-39.0,-51.4,0,0,534,0,96,0,
0.2967,-22.8,-42.2,64.3,30.9,37.8,-24.6,-24.8,29.3,-1115.6,-16.7,157.1,128.1,-46.4,-63.0,-26.6,-76.4,-9.6,-3461.4,130.7,-21.5,-2329.5,-45.6,-51.6,-65.8,0,0,540,0,97,0,
0.3000,3.0,-58.4,47.3,5.1,17.4,-54.5,-44.0,-26.9,-818.1,-33.8,139.5,111.1,-61.4,-76.5,-37.4,-91.1,-9.9,-3474.0,108.5,-46.0,-2352.0,-58.4,-73.8,-104.0,0,0,546,0,98,0,
0.3033,27.9,4.2,96.4,70.2,63.2,7.5,14.4,78.3,-1264.4,16.1,178.9,150.2,-0.6,-23.7,10.8,-47.9,-9.6,-3426.9,160.0,12.3,-2304.9,-15.9,-24.6,-47.5,0,0,552,0,99,0,
0.3067,-51.0,-88.3,27.8,-12.0,-0.9,-71.3,-59.8,-31.7,-966.9,-31.1,123.6,93.2,-76.7,-88.8,-55.6,-106.0,-9.3,-3479.1,92.9,-61.6,-2356.5,-71.6,-87.6,-107.0,0,0,558,0,100,0,
